Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,T_overall,T_calculation,Result,Error
MPI,call,100,110,0.02,0.75,1,75000000,0,1,6.97794199,6.857152807,26.62104413,0.008835122673
MPI,call,100,110,0.02,0.75,1,75000000,0,5,1.61341581,1.469261395,26.61765059,0.00544158288
MPI,call,100,110,0.02,0.75,1,75000000,0,10,0.904361852,0.732249038,26.62074298,0.008533966222
MPI,call,100,110,0.02,0.75,1,75000000,0,25,0.629914196,0.395395728,26.6088197,-0.003389306283
MPI,call,100,110,0.02,0.75,1,75000000,0,50,0.786134243,0.381980884,26.61474934,0.00254033274
MPI,call,100,110,0.02,0.75,1,75000000,0,100,1.267706682,0.413178903,26.62120395,0.008994937546
MPI,call,100,110,0.02,0.75,1,100000000,0,1,9.288920825,9.168318573,26.61317576,0.0009667482331
MPI,call,100,110,0.02,0.75,1,100000000,0,5,2.081320195,1.940238822,26.61153308,-0.0006759313299
MPI,call,100,110,0.02,0.75,1,100000000,0,10,1.149593783,0.987171235,26.61703982,0.004830805652
MPI,call,100,110,0.02,0.75,1,100000000,0,25,0.742078911,0.530267053,26.61030982,-0.001899187196
MPI,call,100,110,0.02,0.75,1,100000000,0,50,0.95858325,0.55781814,26.62224332,0.01003431109
MPI,call,100,110,0.02,0.75,1,100000000,0,100,1.35609879,0.463964119,26.60958983,-0.00261917841
Hybrid,call,100,110,0.02,0.75,1,1000000,0,1001,0.201829786,0.080923564,26.59062048,-0.02158852605
Hybrid,call,100,110,0.02,0.75,1,1000000,0,10010,0.182228228,0.014413433,26.52999629,-0.08221271874
Hybrid,call,100,110,0.02,0.75,1,1000000,0,25025,0.224761944,0.00871275,26.63428133,0.02207232124
Hybrid,call,100,110,0.02,0.75,1,1000000,0,50050,0.44193591,0.017908983,26.56166941,-0.05053959577
Hybrid,call,100,110,0.02,0.75,1,2000000,0,1001,0.294633887,0.174545284,26.61744694,0.005237926807
Hybrid,call,100,110,0.02,0.75,1,2000000,0,10010,0.187596849,0.027787907,26.65999601,0.04778700356
Hybrid,call,100,110,0.02,0.75,1,2000000,0,25025,0.222989671,0.015195138,26.70382337,0.09161436055
Hybrid,call,100,110,0.02,0.75,1,2000000,0,50050,0.436159135,0.024304828,26.45438786,-0.1578211504
Hybrid,call,100,110,0.02,0.75,1,5000000,0,1001,0.540441497,0.420462656,26.59757672,-0.01463229391
Hybrid,call,100,110,0.02,0.75,1,5000000,0,10010,0.228132667,0.071758025,26.67071685,0.05850784102
Hybrid,call,100,110,0.02,0.75,1,5000000,0,25025,0.226739298,0.029601639,26.61911294,0.006903933417
Hybrid,call,100,110,0.02,0.75,1,5000000,0,50050,0.482882107,0.040163635,26.82090195,0.2086929431
Hybrid,call,100,110,0.02,0.75,1,7500000,0,1001,0.721260069,0.600707756,26.57665368,-0.03555532799
Hybrid,call,100,110,0.02,0.75,1,7500000,0,10010,0.257540678,0.101337768,26.59708254,-0.01512646665
Hybrid,call,100,110,0.02,0.75,1,7500000,0,25025,0.249280723,0.043094506,26.53646624,-0.07574277421
Hybrid,call,100,110,0.02,0.75,1,7500000,0,50050,0.438598661,0.049563705,26.60160273,-0.01060628304
Hybrid,call,100,110,0.02,0.75,1,10000000,0,1001,1.072917185,0.951079993,26.58600472,-0.02620428532
Hybrid,call,100,110,0.02,0.75,1,10000000,0,10010,0.289014522,0.12561676,26.66501981,0.0528107962
Hybrid,call,100,110,0.02,0.75,1,10000000,0,25025,0.263930345,0.057170087,26.58255112,-0.02965788872
Hybrid,call,100,110,0.02,0.75,1,10000000,0,50050,0.446419633,0.063153197,26.63109536,0.01888634659
Hybrid,call,100,110,0.02,0.75,1,25000000,0,1001,2.293023834,2.172017283,26.60587292,-0.006336092568
Hybrid,call,100,110,0.02,0.75,1,25000000,0,10010,0.446263379,0.290518754,26.5792336,-0.03297541395
Hybrid,call,100,110,0.02,0.75,1,25000000,0,25025,0.355436126,0.137698418,26.67395565,0.0617466407
Hybrid,call,100,110,0.02,0.75,1,25000000,0,50050,0.523092012,0.126283576,26.64547414,0.03326513435
Hybrid,call,100,110,0.02,0.75,1,50000000,0,1001,4.752062997,4.630936701,26.6219046,0.009695591775
Hybrid,call,100,110,0.02,0.75,1,50000000,0,10010,0.699290522,0.547573714,26.64782098,0.03561196759
Hybrid,call,100,110,0.02,0.75,1,50000000,0,25025,0.489410261,0.272920391,26.60968997,-0.00251903784
Hybrid,call,100,110,0.02,0.75,1,50000000,0,50050,0.667648942,0.233800171,26.70093434,0.08872532784
Hybrid,call,100,110,0.02,0.75,1,75000000,0,1001,7.160274208,7.039532656,26.61206165,-0.0001473648365
Hybrid,call,100,110,0.02,0.75,1,75000000,0,10010,0.913729274,0.761738331,26.61470593,0.002496920526
Hybrid,call,100,110,0.02,0.75,1,75000000,0,25025,0.625596521,0.40990379,26.58588432,-0.02632469013
Hybrid,call,100,110,0.02,0.75,1,75000000,0,50050,0.752624828,0.338875288,26.6460967,0.03388769338
Hybrid,call,100,110,0.02,0.75,1,100000000,0,1001,9.293322329,9.173434578,26.61877533,0.006566323301
Hybrid,call,100,110,0.02,0.75,1,100000000,0,10010,1.134606296,0.97976105,26.57517029,-0.03703872402
Hybrid,call,100,110,0.02,0.75,1,100000000,0,25025,0.762043599,0.539547767,26.60671347,-0.005495541062
Hybrid,call,100,110,0.02,0.75,1,100000000,0,50050,0.794664456,0.396992183,26.55377138,-0.05843763094
Serial,put,100,90,0.02,0.75,1,1000000,0,0,0.104699572,0.104692751,22.01591551,0.03000623299
Serial,put,100,90,0.02,0.75,1,2000000,0,0,0.206466454,0.206462285,21.99203331,0.006124034763
Serial,put,100,90,0.02,0.75,1,5000000,0,0,0.539214418,0.539203893,21.9729132,-0.01299608461
Serial,put,100,90,0.02,0.75,1,7500000,0,0,0.761830001,0.761825523,21.9853103,-0.000598980403
Serial,put,100,90,0.02,0.75,1,10000000,0,0,1.003732469,1.003727837,21.9791212,-0.006788084084
Serial,put,100,90,0.02,0.75,1,25000000,0,0,2.541400702,2.541394642,21.98218542,-0.003723859106
Serial,put,100,90,0.02,0.75,1,50000000,0,0,5.097177269,5.097169323,21.98562536,-0.0002839162972
Serial,put,100,90,0.02,0.75,1,75000000,0,0,7.51252222,7.512512741,21.98683503,0.0009257544878
Serial,put,100,90,0.02,0.75,1,100000000,0,0,10.09793645,10.09791989,21.98464927,-0.001260010858
OMP,put,100,90,0.02,0.75,1,1000000,0,1,0.111514644,0.111501146,22.01974181,0.03383253038
OMP,put,100,90,0.02,0.75,1,1000000,0,5,0.030775398,0.030768816,21.98836585,0.002456573122
OMP,put,100,90,0.02,0.75,1,1000000,0,10,0.017255089,0.017245641,21.98904546,0.003136179097
OMP,put,100,90,0.02,0.75,1,1000000,0,25,0.009826463,0.00981272,21.86500936,-0.1208999157
OMP,put,100,90,0.02,0.75,1,1000000,0,50,0.009719897,0.009709935,21.84524406,-0.1406652248
OMP,put,100,90,0.02,0.75,1,1000000,0,100,0.009559012,0.009553463,21.83686207,-0.1490472074
OMP,put,100,90,0.02,0.75,1,2000000,0,1,0.208794382,0.20878555,22.01698048,0.0310712033
OMP,put,100,90,0.02,0.75,1,2000000,0,5,0.05638816,0.056375091,21.99926183,0.01335254774
OMP,put,100,90,0.02,0.75,1,2000000,0,10,0.033479125,0.033452403,21.94307922,-0.04283006246
OMP,put,100,90,0.02,0.75,1,2000000,0,25,0.015198574,0.01518773,21.92365964,-0.06224963789
OMP,put,100,90,0.02,0.75,1,2000000,0,50,0.013079756,0.013071131,21.92125706,-0.06465221706
OMP,put,100,90,0.02,0.75,1,2000000,0,100,0.012280962,0.012275415,21.91122616,-0.07468311591
OMP,put,100,90,0.02,0.75,1,5000000,0,1,0.529423595,0.529417087,22.00062969,0.01472040771
OMP,put,100,90,0.02,0.75,1,5000000,0,5,0.120398588,0.120388768,21.96009914,-0.02581014043
OMP,put,100,90,0.02,0.75,1,5000000,0,10,0.066152819,0.066136282,21.96624166,-0.0196676203
OMP,put,100,90,0.02,0.75,1,5000000,0,25,0.030013785,0.030004474,21.93698534,-0.0489239369
OMP,put,100,90,0.02,0.75,1,5000000,0,50,0.024382123,0.024370848,21.92695656,-0.05895272407
OMP,put,100,90,0.02,0.75,1,5000000,0,100,0.02586065,0.025851716,21.91363124,-0.07227803928
OMP,put,100,90,0.02,0.75,1,7500000,0,1,0.786343522,0.786336973,21.98308831,-0.002820967801
OMP,put,100,90,0.02,0.75,1,7500000,0,5,0.168671869,0.168659918,22.01411045,0.02820117272
OMP,put,100,90,0.02,0.75,1,7500000,0,10,0.089865751,0.089856277,22.01654483,0.03063554742
OMP,put,100,90,0.02,0.75,1,7500000,0,25,0.044292847,0.044277228,21.91550764,-0.07040164487
OMP,put,100,90,0.02,0.75,1,7500000,0,50,0.038420062,0.038407878,21.92930532,-0.05660396056
OMP,put,100,90,0.02,0.75,1,7500000,0,100,0.038517925,0.038507423,21.9513852,-0.03452407543
OMP,put,100,90,0.02,0.75,1,10000000,0,1,1.026972661,1.026966259,21.98083641,-0.005072866606
OMP,put,100,90,0.02,0.75,1,10000000,0,5,0.222135817,0.222123596,21.97899233,-0.006916947108
OMP,put,100,90,0.02,0.75,1,10000000,0,10,0.118505751,0.118493372,21.97021343,-0.01569584702
OMP,put,100,90,0.02,0.75,1,10000000,0,25,0.057165147,0.057148568,22.01073747,0.02482819407
OMP,put,100,90,0.02,0.75,1,10000000,0,50,0.043341146,0.043335495,21.99369234,0.007783057051
OMP,put,100,90,0.02,0.75,1,10000000,0,100,0.042247967,0.042241416,21.99583242,0.009923141607
OMP,put,100,90,0.02,0.75,1,25000000,0,1,2.565477586,2.565470739,21.98540168,-0.0005075990811
OMP,put,100,90,0.02,0.75,1,25000000,0,5,0.535802948,0.535788931,22.00154534,0.01563606331
OMP,put,100,90,0.02,0.75,1,25000000,0,10,0.27549567,0.275477969,22.00637791,0.02046862534
OMP,put,100,90,0.02,0.75,1,25000000,0,25,0.14108811,0.141080852,22.01331903,0.02740975333
OMP,put,100,90,0.02,0.75,1,25000000,0,50,0.113380062,0.113373443,22.02474512,0.03883583836
OMP,put,100,90,0.02,0.75,1,25000000,0,100,0.110380638,0.110372719,22.02307109,0.03716181163
OMP,put,100,90,0.02,0.75,1,50000000,0,1,5.190176124,5.190168251,21.98616955,0.0002602657911
OMP,put,100,90,0.02,0.75,1,50000000,0,5,1.07389643,1.07388756,21.98784225,0.001932970852
OMP,put,100,90,0.02,0.75,1,50000000,0,10,0.57360415,0.573593827,21.99424752,0.008338237897
OMP,put,100,90,0.02,0.75,1,50000000,0,25,0.257363043,0.257348895,21.98673844,0.0008291591209
OMP,put,100,90,0.02,0.75,1,50000000,0,50,0.206236222,0.206223424,21.98464763,-0.001261654
OMP,put,100,90,0.02,0.75,1,50000000,0,100,0.220538713,0.220530863,22.00110336,0.0151940799
OMP,put,100,90,0.02,0.75,1,75000000,0,1,7.637532551,7.637524143,21.99063066,0.00472138307
OMP,put,100,90,0.02,0.75,1,75000000,0,5,1.606712101,1.606692374,21.99045563,0.004546347553
OMP,put,100,90,0.02,0.75,1,75000000,0,10,0.81679011,0.816767773,21.99019416,0.004284883687
OMP,put,100,90,0.02,0.75,1,75000000,0,25,0.367236763,0.367227514,21.97493428,-0.01097499618
OMP,put,100,90,0.02,0.75,1,75000000,0,50,0.314534634,0.314525687,21.97726937,-0.008639913281
OMP,put,100,90,0.02,0.75,1,75000000,0,100,0.321875514,0.321869769,21.97354882,-0.01236045716
OMP,put,100,90,0.02,0.75,1,100000000,0,1,10.35931038,10.35930428,21.98800093,0.002091648094
OMP,put,100,90,0.02,0.75,1,100000000,0,5,2.137739439,2.137713505,21.9757002,-0.01020907519
OMP,put,100,90,0.02,0.75,1,100000000,0,10,1.0901468,1.090126644,21.98369355,-0.002215728371
OMP,put,100,90,0.02,0.75,1,100000000,0,25,0.514094277,0.514086908,21.98753277,0.001623486413
OMP,put,100,90,0.02,0.75,1,100000000,0,50,0.437338481,0.437331223,21.98178834,-0.004120937081
OMP,put,100,90,0.02,0.75,1,100000000,0,100,0.43815456,0.43814798,21.96993854,-0.01597074014
MPI,put,100,90,0.02,0.75,1,1000000,0,1,0.226692692,0.103749215,21.94153934,-0.04436993968
MPI,put,100,90,0.02,0.75,1,1000000,0,5,0.159608596,0.022231305,21.94815943,-0.03774984853
MPI,put,100,90,0.02,0.75,1,1000000,0,10,0.174994464,0.014586206,22.01550405,0.02959476611
MPI,put,100,90,0.02,0.75,1,1000000,0,25,0.221516478,0.006072573,21.99650764,0.01059835746
MPI,put,100,90,0.02,0.75,1,1000000,0,50,0.409757226,0.013051083,21.99286667,0.006957390666
