Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,T_overall,T_calculation,Result,Error
OMP,call,100,90,0.02,0.75,1,65536,100,2,0.619539535,0.619525106,21.5955028,-0.2844972032
OMP,call,100,90,0.02,0.75,1,65536,100,4,0.322139219,0.322125985,21.30575299,-0.5742470065
OMP,call,100,90,0.02,0.75,1,65536,100,8,0.175103426,0.175091907,20.9870506,-0.8929494035
OMP,call,100,90,0.02,0.75,1,65536,100,16,0.108966294,0.108954847,22.04709491,0.1670949128
OMP,call,100,90,0.02,0.75,1,65536,100,32,0.061816011,0.061801164,22.42948107,0.5494810736
OMP,call,100,90,0.02,0.75,1,65536,100,64,0.067481533,0.067467104,22.46996134,0.5899613383
OMP,call,100,90,0.02,0.75,1,65536,250,1,3.063125955,3.06311055,21.7296539,-0.1503461025
OMP,call,100,90,0.02,0.75,1,65536,250,2,1.544356563,1.54434366,21.95618383,0.07618382956
OMP,call,100,90,0.02,0.75,1,65536,250,4,0.800535726,0.800507217,21.67789859,-0.2021014144
OMP,call,100,90,0.02,0.75,1,65536,250,8,0.422642324,0.42263034,21.91873072,0.03873071568
OMP,call,100,90,0.02,0.75,1,65536,250,16,0.231665272,0.231643589,21.98803999,0.1080399864
OMP,call,100,90,0.02,0.75,1,65536,250,32,0.14356641,0.143556368,22.15137642,0.2713764245
OMP,call,100,90,0.02,0.75,1,65536,250,64,0.153394105,0.153387979,22.32885258,0.4488525761
OMP,call,100,90,0.02,0.75,1,65536,500,1,6.021477002,6.021467929,21.65834898,-0.2216510184
OMP,call,100,90,0.02,0.75,1,65536,500,2,3.053130868,3.0531219,22.08348913,0.2034891329
OMP,call,100,90,0.02,0.75,1,65536,500,4,1.585959442,1.585944679,21.73903449,-0.1409655102
OMP,call,100,90,0.02,0.75,1,65536,500,8,0.830898127,0.830890052,22.38505805,0.5050580459
OMP,call,100,90,0.02,0.75,1,65536,500,16,0.468513715,0.468499261,22.01850482,0.1385048241
OMP,call,100,90,0.02,0.75,1,65536,500,32,0.286703814,0.286679716,22.06313216,0.1831321637
OMP,call,100,90,0.02,0.75,1,65536,500,64,0.248591397,0.248582934,22.24730032,0.3673003151
OMP,call,100,90,0.02,0.75,1,65536,750,1,9.041391316,9.041380268,21.45235865,-0.4276413462
OMP,call,100,90,0.02,0.75,1,65536,750,2,4.669999126,4.669988322,22.05730701,0.1773070086
OMP,call,100,90,0.02,0.75,1,65536,750,4,2.402918712,2.402904764,21.95538154,0.07538154407
OMP,call,100,90,0.02,0.75,1,65536,750,8,1.252746528,1.252731718,22.07427114,0.1942711447
OMP,call,100,90,0.02,0.75,1,65536,750,16,0.694396129,0.694382661,21.87008291,-0.009917094348
OMP,call,100,90,0.02,0.75,1,65536,750,32,0.420780685,0.420767331,22.01682467,0.1368246729
OMP,call,100,90,0.02,0.75,1,65536,750,64,0.327654339,0.327631429,22.83220402,0.9522040154
OMP,call,100,90,0.02,0.75,1,65536,1000,1,12.0206378,12.02062146,21.77678615,-0.1032138493
OMP,call,100,90,0.02,0.75,1,65536,1000,2,6.189335256,6.189323382,21.85022084,-0.02977916217
OMP,call,100,90,0.02,0.75,1,65536,1000,4,3.154967054,3.154953259,22.16639071,0.2863907129
OMP,call,100,90,0.02,0.75,1,65536,1000,8,1.676265606,1.676252196,21.48500403,-0.3949959741
OMP,call,100,90,0.02,0.75,1,65536,1000,16,0.928333263,0.928323387,22.37766232,0.4976623224
OMP,call,100,90,0.02,0.75,1,65536,1000,32,0.58053844,0.580518013,21.6328339,-0.2471661015
OMP,call,100,90,0.02,0.75,1,65536,1000,64,0.507943137,0.507932999,23.12725464,1.247254642
OMP,call,100,90,0.02,0.75,1,131072,50,1,1.260261506,1.260248707,21.50869835,-0.3713016452
OMP,call,100,90,0.02,0.75,1,131072,50,2,0.626359323,0.626336462,21.54020169,-0.3397983091
OMP,call,100,90,0.02,0.75,1,131072,50,4,0.332460965,0.332441202,21.62485958,-0.2551404218
OMP,call,100,90,0.02,0.75,1,131072,50,8,0.171150521,0.171138069,21.51814177,-0.3618582329
OMP,call,100,90,0.02,0.75,1,131072,50,16,0.094655106,0.094645765,21.70201204,-0.1779879645
OMP,call,100,90,0.02,0.75,1,131072,50,32,0.062549743,0.062537237,21.75953391,-0.1204660933
OMP,call,100,90,0.02,0.75,1,131072,50,64,0.062013807,0.062003972,21.56493216,-0.3150678422
OMP,call,100,90,0.02,0.75,1,131072,100,1,2.576442523,2.576430214,21.57018256,-0.3098174446
OMP,call,100,90,0.02,0.75,1,131072,100,2,1.23319,1.233167494,21.53959934,-0.3404006551
OMP,call,100,90,0.02,0.75,1,131072,100,4,0.629842402,0.629811913,21.67158945,-0.2084105516
OMP,call,100,90,0.02,0.75,1,131072,100,8,0.340361868,0.340349354,21.6982606,-0.181739405
OMP,call,100,90,0.02,0.75,1,131072,100,16,0.177569119,0.17755677,21.89576329,0.01576329059
OMP,call,100,90,0.02,0.75,1,131072,100,32,0.121620041,0.121612631,22.33103931,0.4510393053
OMP,call,100,90,0.02,0.75,1,131072,100,64,0.114622628,0.11461524,22.4763965,0.5963964973
OMP,call,100,90,0.02,0.75,1,131072,250,1,6.109065773,6.109058584,21.71745175,-0.1625482519
OMP,call,100,90,0.02,0.75,1,131072,250,2,3.119649092,3.119638511,21.49957907,-0.3804209345
OMP,call,100,90,0.02,0.75,1,131072,250,4,1.573009639,1.572997882,21.84216082,-0.03783918143
OMP,call,100,90,0.02,0.75,1,131072,250,8,0.811237005,0.81122959,21.63489164,-0.2451083608
OMP,call,100,90,0.02,0.75,1,131072,250,16,0.436442468,0.436434373,21.29331669,-0.5866833107
OMP,call,100,90,0.02,0.75,1,131072,250,32,0.273603942,0.273584957,23.04943314,1.169433137
OMP,call,100,90,0.02,0.75,1,131072,250,64,0.262950897,0.262941089,23.7635437,1.8835437
OMP,call,100,90,0.02,0.75,1,131072,500,1,12.12230874,12.12229734,21.87482463,-0.005175374929
OMP,call,100,90,0.02,0.75,1,131072,500,2,6.195051822,6.195041043,21.6559751,-0.2240249046
OMP,call,100,90,0.02,0.75,1,131072,500,4,3.163121132,3.163103047,21.81100131,-0.06899868665
OMP,call,100,90,0.02,0.75,1,131072,500,8,1.614226435,1.614205856,21.58598868,-0.2940113212
OMP,call,100,90,0.02,0.75,1,131072,500,16,0.854606313,0.854585008,22.30279456,0.4227945601
OMP,call,100,90,0.02,0.75,1,131072,500,32,0.527631702,0.527624317,21.2772798,-0.6027201983
OMP,call,100,90,0.02,0.75,1,131072,500,64,0.514621161,0.514606296,21.10395975,-0.7760402539
OMP,call,100,90,0.02,0.75,1,131072,750,1,18.22692938,18.22692073,21.79302591,-0.08697408565
OMP,call,100,90,0.02,0.75,1,131072,750,2,9.289853416,9.28983788,21.75088014,-0.1291198626
OMP,call,100,90,0.02,0.75,1,131072,750,4,4.701567083,4.701546109,21.79072879,-0.0892712145
OMP,call,100,90,0.02,0.75,1,131072,750,8,2.372216891,2.372199199,21.98162562,0.1016256202
OMP,call,100,90,0.02,0.75,1,131072,750,16,1.301509133,1.301503066,22.48454032,0.6045403202
OMP,call,100,90,0.02,0.75,1,131072,750,32,0.787172066,0.78715658,22.9214404,1.041440401
OMP,call,100,90,0.02,0.75,1,131072,750,64,0.778778744,0.778771741,22.47365881,0.5936588096
OMP,call,100,90,0.02,0.75,1,131072,1000,1,24.30565104,24.30564089,21.81126244,-0.06873756009
OMP,call,100,90,0.02,0.75,1,131072,1000,2,12.39060043,12.39059105,21.74619509,-0.1338049055
OMP,call,100,90,0.02,0.75,1,131072,1000,4,6.32875353,6.328738773,21.82211732,-0.05788268032
OMP,call,100,90,0.02,0.75,1,131072,1000,8,3.184127779,3.184108274,21.58007184,-0.2999281637
OMP,call,100,90,0.02,0.75,1,131072,1000,16,1.694765468,1.694733717,21.37761951,-0.5023804933
OMP,call,100,90,0.02,0.75,1,131072,1000,32,1.051432499,1.051419888,21.72507472,-0.1549252814
OMP,call,100,90,0.02,0.75,1,131072,1000,64,1.001639017,1.001628675,22.7087113,0.8287113038
MPI,call,100,90,0.02,0.75,1,1024,50,1,0.132518675,0.009547607,21.08337373,-0.7966262727
MPI,call,100,90,0.02,0.75,1,1024,50,2,0.138168877,0.006507317,22.49273686,0.6127368577
MPI,call,100,90,0.02,0.75,1,1024,50,4,0.141597968,0.005053863,21.51405388,-0.3659461235
MPI,call,100,90,0.02,0.75,1,1024,50,8,0.153878129,0.002014109,18.97061386,-2.909386141
MPI,call,100,90,0.02,0.75,1,1024,50,16,0.194975486,0.001117663,19.73939282,-2.140607178
MPI,call,100,90,0.02,0.75,1,1024,50,32,0.307195132,0.001155342,20.58457989,-1.295420111
MPI,call,100,90,0.02,0.75,1,1024,50,64,0.578988344,0.00338879,19.81138179,-2.068618206
MPI,call,100,90,0.02,0.75,1,1024,100,1,0.13688985,0.017230346,22.3700073,0.4900072995
MPI,call,100,90,0.02,0.75,1,1024,100,2,0.140629541,0.012875331,22.11386028,0.2338602825
MPI,call,100,90,0.02,0.75,1,1024,100,4,0.14064558,0.007320663,21.35644425,-0.5235557463
MPI,call,100,90,0.02,0.75,1,1024,100,8,0.14934494,0.004116392,21.22623249,-0.6537675149
MPI,call,100,90,0.02,0.75,1,1024,100,16,0.194129436,0.001947526,22.33774627,0.4577462683
MPI,call,100,90,0.02,0.75,1,1024,100,32,0.294604483,0.001325669,21.33753832,-0.54246168
MPI,call,100,90,0.02,0.75,1,1024,100,64,0.629972993,0.011515053,20.0431821,-1.836817897
MPI,call,100,90,0.02,0.75,1,1024,250,1,0.166758848,0.04496837,21.77505151,-0.1049484877
MPI,call,100,90,0.02,0.75,1,1024,250,2,0.154152942,0.026759715,21.78980994,-0.09019005847
MPI,call,100,90,0.02,0.75,1,1024,250,4,0.149816773,0.016885307,22.64751454,0.7675145402
MPI,call,100,90,0.02,0.75,1,1024,250,8,0.160148692,0.008547099,22.97461346,1.094613461
MPI,call,100,90,0.02,0.75,1,1024,250,16,0.213541511,0.004435884,23.63942927,1.759429271
MPI,call,100,90,0.02,0.75,1,1024,250,32,0.33672851,0.003143922,22.35955811,0.4795581055
MPI,call,100,90,0.02,0.75,1,1024,250,64,0.661795063,0.022054452,20.08719422,-1.79280578
