Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,T_overall,T_calculation,Result,Error
OMP,put,100,110,0.02,0.75,1,8192,750,8,0.186501009,0.18648849,23.11272878,0.4527287783
OMP,put,100,110,0.02,0.75,1,8192,750,16,0.154217693,0.15420581,23.10496679,0.4449667948
OMP,put,100,110,0.02,0.75,1,8192,750,32,0.18025028,0.180236722,22.58378908,-0.07621091944
OMP,put,100,110,0.02,0.75,1,8192,750,64,0.166064618,0.166051301,22.58470257,-0.07529743207
OMP,put,100,110,0.02,0.75,1,8192,1000,1,1.517840401,1.517820008,22.3580399,-0.3019601038
OMP,put,100,110,0.02,0.75,1,8192,1000,2,0.786518902,0.786497584,22.80636152,0.1463615228
OMP,put,100,110,0.02,0.75,1,8192,1000,4,0.416709177,0.416695168,23.48530628,0.8253062788
OMP,put,100,110,0.02,0.75,1,8192,1000,8,0.222892679,0.222881881,21.63678858,-1.023211417
OMP,put,100,110,0.02,0.75,1,8192,1000,16,0.219480722,0.219468373,21.58912782,-1.070872182
OMP,put,100,110,0.02,0.75,1,8192,1000,32,0.232255763,0.232241237,21.58898067,-1.071019331
OMP,put,100,110,0.02,0.75,1,8192,1000,64,0.242454561,0.242444504,21.58911286,-1.070887139
OMP,put,100,110,0.02,0.75,1,16384,50,1,0.178443192,0.178434987,22.28215223,-0.3778477707
OMP,put,100,110,0.02,0.75,1,16384,50,2,0.092088841,0.092078266,22.08071634,-0.5792836644
OMP,put,100,110,0.02,0.75,1,16384,50,4,0.049604912,0.049596217,22.23213158,-0.4278684225
OMP,put,100,110,0.02,0.75,1,16384,50,8,0.029084507,0.029075611,21.43078663,-1.229213369
OMP,put,100,110,0.02,0.75,1,16384,50,16,0.024042064,0.024021591,21.90356206,-0.756437938
OMP,put,100,110,0.02,0.75,1,16384,50,32,0.018661914,0.018650335,21.94598429,-0.7140157085
OMP,put,100,110,0.02,0.75,1,16384,50,64,0.021577134,0.021566963,21.95546329,-0.7045367074
OMP,put,100,110,0.02,0.75,1,16384,100,1,0.305455497,0.305447852,22.34736846,-0.3126315422
OMP,put,100,110,0.02,0.75,1,16384,100,2,0.160148812,0.160135779,22.49867795,-0.1613220475
OMP,put,100,110,0.02,0.75,1,16384,100,4,0.09317775,0.093166072,22.97379526,0.3137952636
OMP,put,100,110,0.02,0.75,1,16384,100,8,0.053605658,0.05359295,23.26319687,0.6031968672
OMP,put,100,110,0.02,0.75,1,16384,100,16,0.029285918,0.029280165,23.41679585,0.7567958523
OMP,put,100,110,0.02,0.75,1,16384,100,32,0.037222301,0.037208331,23.4132673,0.7532673039
OMP,put,100,110,0.02,0.75,1,16384,100,64,0.031209244,0.031201206,23.41342163,0.7534216305
OMP,put,100,110,0.02,0.75,1,16384,250,1,0.781210208,0.781197306,22.5980501,-0.06194990299
OMP,put,100,110,0.02,0.75,1,16384,250,2,0.399421807,0.39941143,22.43359105,-0.22640895
OMP,put,100,110,0.02,0.75,1,16384,250,4,0.226806705,0.226792199,22.34744497,-0.3125550308
OMP,put,100,110,0.02,0.75,1,16384,250,8,0.113333266,0.113308122,22.23362331,-0.4263766863
OMP,put,100,110,0.02,0.75,1,16384,250,16,0.069899993,0.069887317,21.87276529,-0.7872347127
OMP,put,100,110,0.02,0.75,1,16384,250,32,0.072625841,0.072613395,21.8581575,-0.8018424985
OMP,put,100,110,0.02,0.75,1,16384,250,64,0.07736716,0.077353293,22.67814308,0.0181430821
OMP,put,100,110,0.02,0.75,1,16384,500,1,1.508568007,1.508560404,22.57831113,-0.08168887137
OMP,put,100,110,0.02,0.75,1,16384,500,2,0.798635569,0.798628081,22.03205121,-0.6279487867
OMP,put,100,110,0.02,0.75,1,16384,500,4,0.402202205,0.402189732,22.0565289,-0.603471101
OMP,put,100,110,0.02,0.75,1,16384,500,8,0.226331626,0.226313929,22.12594678,-0.5340532245
OMP,put,100,110,0.02,0.75,1,16384,500,16,0.136858269,0.136845882,24.22908214,1.569082135
OMP,put,100,110,0.02,0.75,1,16384,500,32,0.140823351,0.140811469,24.26289793,1.602897932
OMP,put,100,110,0.02,0.75,1,16384,500,64,0.139069861,0.139056496,24.26309435,1.603094354
OMP,put,100,110,0.02,0.75,1,16384,750,1,2.273930402,2.273920941,22.82808738,0.1680873784
OMP,put,100,110,0.02,0.75,1,16384,750,2,1.162929175,1.162917066,22.5980732,-0.06192680027
OMP,put,100,110,0.02,0.75,1,16384,750,4,0.609605144,0.609591828,22.74842514,0.0884251386
OMP,put,100,110,0.02,0.75,1,16384,750,8,0.355838969,0.355827276,22.19369109,-0.4663089129
OMP,put,100,110,0.02,0.75,1,16384,750,16,0.20149839,0.201476044,22.3502841,-0.3097158976
OMP,put,100,110,0.02,0.75,1,16384,750,32,0.186834384,0.186818426,21.34173861,-1.318261386
OMP,put,100,110,0.02,0.75,1,16384,750,64,0.187687818,0.187675398,21.34153905,-1.318460949
OMP,put,100,110,0.02,0.75,1,16384,1000,1,3.021303523,3.021292644,22.20771086,-0.4522891394
OMP,put,100,110,0.02,0.75,1,16384,1000,2,1.558387632,1.558368923,22.68296908,0.02296908052
OMP,put,100,110,0.02,0.75,1,16384,1000,4,0.80619815,0.806190432,22.69563695,0.03563695201
OMP,put,100,110,0.02,0.75,1,16384,1000,8,0.443376141,0.443353892,22.63713675,-0.02286325185
OMP,put,100,110,0.02,0.75,1,16384,1000,16,0.258351135,0.25833742,21.90183164,-0.7581683603
OMP,put,100,110,0.02,0.75,1,16384,1000,32,0.232771997,0.232762394,21.83198166,-0.8280183352
OMP,put,100,110,0.02,0.75,1,16384,1000,64,0.23924161,0.239235874,21.83164814,-0.8283518599
OMP,put,100,110,0.02,0.75,1,65536,50,1,0.633639467,0.633625451,22.40341977,-0.2565802291
OMP,put,100,110,0.02,0.75,1,65536,50,2,0.32370208,0.323686603,22.42539289,-0.2346071102
OMP,put,100,110,0.02,0.75,1,65536,50,4,0.164720679,0.164710813,22.20514439,-0.4548556132
OMP,put,100,110,0.02,0.75,1,65536,50,8,0.085586652,0.085579577,22.08911744,-0.5708825609
OMP,put,100,110,0.02,0.75,1,65536,50,16,0.053231147,0.05322515,22.1346243,-0.5253756964
OMP,put,100,110,0.02,0.75,1,65536,50,32,0.038266784,0.038252762,21.28300746,-1.376992541
OMP,put,100,110,0.02,0.75,1,65536,50,64,0.030629945,0.030616877,21.14460299,-1.515397008
OMP,put,100,110,0.02,0.75,1,65536,100,1,1.249486023,1.24947977,22.43631794,-0.2236820629
OMP,put,100,110,0.02,0.75,1,65536,100,2,0.630402045,0.630388606,22.53429058,-0.1257094153
OMP,put,100,110,0.02,0.75,1,65536,100,4,0.342861117,0.342847589,22.55331581,-0.1066841867
OMP,put,100,110,0.02,0.75,1,65536,100,8,0.170161194,0.170149092,22.46261545,-0.1973845493
OMP,put,100,110,0.02,0.75,1,65536,100,16,0.11003564,0.11001528,22.05968482,-0.6003151849
OMP,put,100,110,0.02,0.75,1,65536,100,32,0.062308246,0.062294844,21.7112388,-0.9487611968
OMP,put,100,110,0.02,0.75,1,65536,100,64,0.059120983,0.05911052,21.61731314,-1.04268686
OMP,put,100,110,0.02,0.75,1,65536,250,1,3.01474419,3.014738658,22.44059086,-0.2194091406
OMP,put,100,110,0.02,0.75,1,65536,250,2,1.582569258,1.582532367,22.44094306,-0.2190569425
OMP,put,100,110,0.02,0.75,1,65536,250,4,0.802805487,0.802798759,22.38905314,-0.2709468614
OMP,put,100,110,0.02,0.75,1,65536,250,8,0.421600237,0.421586083,22.4533962,-0.2066037982
OMP,put,100,110,0.02,0.75,1,65536,250,16,0.267154113,0.267144483,22.14990324,-0.5100967603
OMP,put,100,110,0.02,0.75,1,65536,250,32,0.143403025,0.143387543,22.30952726,-0.3504727424
OMP,put,100,110,0.02,0.75,1,65536,250,64,0.141572404,0.141564783,22.03647191,-0.6235280853
OMP,put,100,110,0.02,0.75,1,65536,500,1,6.111272883,6.111265444,22.50337755,-0.1566224549
OMP,put,100,110,0.02,0.75,1,65536,500,2,3.050734869,3.050716701,22.4349055,-0.2250944958
OMP,put,100,110,0.02,0.75,1,65536,500,4,1.58708686,1.587072428,22.57294001,-0.08705999141
OMP,put,100,110,0.02,0.75,1,65536,500,8,0.844132734,0.844109914,22.79127992,0.1312799249
OMP,put,100,110,0.02,0.75,1,65536,500,16,0.477464816,0.477452506,22.90798821,0.2479882088
OMP,put,100,110,0.02,0.75,1,65536,500,32,0.295112953,0.295099912,22.31582973,-0.3441702663
OMP,put,100,110,0.02,0.75,1,65536,500,64,0.275669589,0.275661284,23.00222876,0.3422287606
OMP,put,100,110,0.02,0.75,1,65536,750,1,8.864985576,8.864973568,22.40937397,-0.2506260316
OMP,put,100,110,0.02,0.75,1,65536,750,2,4.656398181,4.656378382,22.48459845,-0.1754015522
